Epoch,Loss,CellAcc,PuzzleAcc
1,1.2780662724733962,51.66374045696761,0.0
2,1.0842863592650274,52.22291194453628,0.0
3,1.0697005788993348,52.67432089070775,0.0
4,1.056211094569672,54.21137378376581,0.0
5,1.0363988290967234,54.633231545270576,0.0
6,1.0249441810276196,55.24066023420307,0.0
7,1.015071124753074,55.616964786142574,0.0
8,1.0063100733872874,56.01475234851616,0.0
9,0.9982311270578438,56.52408395269638,0.0
10,0.989834400317858,56.84898637976554,0.0
11,0.9831719710241498,57.22063632811229,0.0
12,0.9555787765004141,60.32763970775163,0.0
13,0.8765090203193753,61.51934379083181,0.0
14,0.8555145909261825,62.08827417752658,0.0
15,0.8475733581558823,62.32880972441885,0.0
16,0.8430402915343604,62.460300815875506,0.0
17,0.8402876381374076,62.60381970670391,0.0
18,0.837681117874887,62.6350791367293,0.00023652628043501912
19,0.8359356623933748,62.70560484938444,0.0
20,0.8340655984476094,62.783903808441046,0.0
